caminho_completo,nome_arquivo,classe,subtipo,label_final
data/raw/aerosol_cans/default/Image_1.png,Image_1.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_10.png,Image_10.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_100.png,Image_100.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_101.png,Image_101.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_102.png,Image_102.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_103.png,Image_103.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_104.png,Image_104.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_105.png,Image_105.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_106.png,Image_106.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_107.png,Image_107.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_108.png,Image_108.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_109.png,Image_109.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_11.png,Image_11.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_110.png,Image_110.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_111.png,Image_111.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_112.png,Image_112.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_113.png,Image_113.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_114.png,Image_114.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_115.png,Image_115.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_116.png,Image_116.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_117.png,Image_117.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_118.png,Image_118.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_119.png,Image_119.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_12.png,Image_12.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_120.png,Image_120.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_121.png,Image_121.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_122.png,Image_122.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_123.png,Image_123.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_124.png,Image_124.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_125.png,Image_125.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_126.png,Image_126.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_127.png,Image_127.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_128.png,Image_128.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_129.png,Image_129.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_13.png,Image_13.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_130.png,Image_130.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_131.png,Image_131.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_132.png,Image_132.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_133.png,Image_133.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_134.png,Image_134.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_135.png,Image_135.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_136.png,Image_136.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_137.png,Image_137.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_138.png,Image_138.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_139.png,Image_139.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_14.png,Image_14.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_140.png,Image_140.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_141.png,Image_141.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_142.png,Image_142.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_143.png,Image_143.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_144.png,Image_144.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_145.png,Image_145.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_146.png,Image_146.png,aerosol_cans,default,aerosol_cans/default
data/raw/aerosol_cans/default/Image_147.png,Image_147.png,aerosol_cans,default,aerosol_cans/default
